attribute,WTP,model
small loss,14.14,mixed logit
small gain,39.34,mixed logit
big gain,53.07,mixed logit
municipal,4.66,mixed logit
state,5.48,mixed logit
coop,6.89,mixed logit
4 miles,3.86,mixed logit
8 miles,7.02,mixed logit
10 miles,9.85,mixed logit
