ID,BLOCK,q1,q2,q3,q4,q5,q6,q7,q8
167,3,2,2,1,2,2,2,2,3
168,3,2,2,1,3,3,3,1,3
169,3,2,2,1,1,2,2,1,1
170,3,2,2,3,3,,2,2,3
171,3,2,2,1,2,2,2,1,2
172,3,2,2,1,3,2,2,1,1
173,3,2,2,1,3,2,2,2,1
174,3,2,2,1,3,1,3,1,3
175,3,1,2,1,1,1,1,2,1
176,3,2,2,1,2,2,2,2,2
177,3,2,2,1,3,2,2,2,2
178,3,2,2,1,2,2,2,2,2
179,3,2,2,3,3,2,2,2,3
180,3,2,2,1,3,2,2,3,3
181,3,3,3,3,3,3,3,3,3
182,3,2,2,1,3,2,2,3,3
183,3,1,1,1,2,2,1,1,2
184,3,1,1,2,2,1,1,1,2
185,3,2,1,2,2,1,1,1,2
186,3,1,1,2,2,1,1,2,2
187,3,1,1,2,2,2,1,1,2
188,3,1,2,2,2,1,1,1,2
189,3,1,1,2,2,1,1,1,2
190,3,1,1,2,2,1,1,1,2
191,3,2,1,2,2,1,1,1,2
192,3,1,1,1,1,1,1,1,2
193,3,1,1,2,2,1,1,1,2
194,3,1,1,2,2,2,1,1,2
195,3,1,1,2,2,1,1,1,2
196,3,2,1,2,2,1,1,2,2
197,3,1,1,2,2,1,1,1,2
198,3,1,1,2,2,1,1,1,2
199,3,1,1,2,2,1,1,1,2
200,3,1,1,2,2,2,1,1,2
201,3,1,1,2,1,1,1,2,2
202,3,1,1,2,2,1,1,2,2
203,3,2,1,2,2,1,1,1,2
204,3,1,1,2,2,1,1,1,2
205,3,1,1,2,2,1,1,1,2
206,3,1,1,2,2,1,1,1,2
207,3,1,1,1,2,1,1,1,2
208,3,1,1,2,2,1,1,1,2
209,3,1,1,2,2,1,1,2,2
210,3,1,1,2,2,1,1,1,2
211,3,1,1,2,2,1,1,1,2
212,3,1,1,2,2,1,1,2,2
213,3,1,1,2,2,1,1,1,2
214,3,1,1,2,2,1,1,1,2
215,3,1,1,2,2,1,1,1,2
216,3,1,1,2,2,1,1,1,2
217,3,1,1,2,2,1,1,1,2
218,3,3,1,2,2,1,1,1,2
219,3,1,1,1,1,2,1,2,2
220,3,2,1,2,2,1,1,1,2
221,3,1,1,2,2,1,1,1,2
222,3,1,1,2,2,1,1,2,2
223,3,1,1,2,2,2,1,1,2
224,3,1,1,2,2,1,1,1,2
225,3,1,1,2,2,1,1,1,2
226,3,1,1,2,2,1,1,1,2
227,3,1,2,2,2,2,1,1,2
228,3,1,1,2,2,2,1,1,2
229,3,1,1,1,2,2,1,1,2
230,3,1,1,2,2,1,1,1,2
231,3,1,1,2,2,1,2,1,2
232,3,1,1,1,2,1,1,1,2
233,3,2,1,2,2,1,1,1,2
234,3,2,1,2,2,1,1,1,2
235,3,1,1,2,2,1,1,1,2
236,3,1,1,2,2,2,1,1,2
237,3,1,1,2,2,1,1,1,2
238,3,1,1,1,2,1,1,1,2
239,3,1,1,2,2,1,1,1,2
240,3,1,1,2,2,1,1,1,2
241,3,1,1,2,3,1,1,1,2
242,3,1,1,2,2,1,1,1,2
243,3,2,2,2,1,1,2,1,2
244,3,1,1,2,2,1,1,1,2
245,3,3,3,3,3,3,3,2,2
246,3,1,1,2,2,1,1,1,2
247,3,1,1,2,2,1,1,1,2
248,3,1,1,2,2,1,1,1,2
249,3,1,1,1,1,1,1,2,2
250,3,1,1,2,2,1,1,1,2
251,3,1,1,2,2,1,1,1,2
252,3,1,1,2,3,2,1,1,1
253,3,1,1,2,2,1,1,1,2
254,3,1,1,2,2,1,1,2,2
255,3,1,1,2,2,1,1,1,2
256,3,1,1,2,2,1,1,1,2
257,3,3,3,3,,3,3,3,3
258,3,1,1,2,2,1,1,1,2
259,3,1,1,2,2,1,1,1,2
260,3,1,1,2,2,2,1,1,2
261,3,1,1,2,2,1,1,1,2
262,3,1,1,2,2,1,1,1,2
263,3,1,1,2,2,1,1,1,2
264,3,1,1,2,2,1,1,1,2
265,3,1,1,2,2,2,1,1,2
266,3,1,1,1,1,1,1,1,1
267,3,1,1,2,2,1,1,1,2
268,3,1,1,2,2,1,1,1,2
269,3,1,1,2,2,1,1,2,2
270,3,1,1,2,2,1,1,1,2
271,3,2,1,2,2,1,2,1,2
272,3,1,1,1,2,1,1,1,2
273,3,2,1,2,2,1,1,1,2
274,3,3,1,2,2,1,1,1,2
275,3,1,1,1,2,2,1,2,2
276,3,1,2,2,1,1,2,1,2
277,3,1,1,2,2,1,1,1,2
278,3,1,1,2,2,1,1,1,2
279,3,1,1,1,2,1,1,1,2
280,3,1,1,2,2,1,1,2,2
281,3,1,1,2,2,1,1,1,2
282,3,1,1,2,2,1,1,1,2
283,3,1,1,2,2,1,1,1,2
284,3,1,1,2,2,1,1,1,2
285,3,1,1,2,2,1,1,1,2
286,3,1,1,2,2,1,1,1,2
287,3,2,1,2,2,1,1,1,2
288,3,1,1,2,2,1,1,1,2
289,3,1,1,2,2,1,1,1,2
290,3,1,1,1,2,1,1,1,2
291,3,2,1,3,3,1,3,3,3
292,3,1,1,2,2,1,1,1,2
293,3,1,1,2,1,1,1,2,2
294,4,1,2,1,2,1,1,2,2
295,4,1,2,1,2,1,2,2,2
296,4,1,1,1,1,1,1,1,2
297,4,1,2,1,2,1,1,2,2
298,4,1,2,1,2,1,2,2,2
299,4,1,2,1,3,1,2,2,2
300,4,2,3,2,1,2,3,2,2
301,4,1,2,1,2,1,1,2,2
302,4,1,1,1,2,1,2,2,1
303,4,1,2,1,2,1,2,2,2
304,4,1,2,2,2,2,2,2,2
305,4,1,2,1,2,1,2,2,2
306,4,2,3,1,2,3,2,2,3
307,4,1,1,1,2,3,1,3,2
308,4,1,2,1,2,1,1,2,2
309,4,3,3,2,3,3,3,2,2
310,4,1,2,1,2,1,1,2,2
311,4,2,2,1,2,1,1,2,2
312,4,1,1,2,2,1,2,1,1
313,4,1,2,1,2,1,1,2,2
314,4,2,2,2,2,1,1,1,2
315,4,1,2,1,2,1,2,2,2
316,4,1,2,1,2,1,2,2,3
317,4,1,3,1,3,3,1,2,2
318,4,1,2,1,2,1,2,2,2
319,4,1,2,1,2,1,2,2,2
320,4,1,2,1,2,1,2,2,2
321,4,3,3,3,3,3,3,3,3
322,4,3,3,3,3,3,3,2,2
323,4,1,2,1,2,1,2,1,2
324,4,1,2,2,2,1,2,2,2
325,4,1,2,1,2,1,1,2,2
326,4,1,2,1,2,1,1,2,2
327,4,2,1,1,2,2,2,2,1
328,4,2,1,2,2,1,2,2,2
329,4,1,2,1,3,3,1,2,2
330,4,1,3,1,3,3,1,2,2
331,4,1,2,1,2,1,2,2,2
332,4,3,3,2,1,2,3,3,2
333,4,3,3,1,3,3,2,2,3
334,4,1,2,1,2,1,2,2,2
335,4,1,2,1,2,1,1,2,2
336,4,2,3,2,2,2,3,2,2
337,4,1,2,1,2,1,2,2,2
338,4,1,2,1,2,1,1,2,2
339,4,1,2,1,2,1,2,2,2
340,4,1,1,1,2,1,1,2,2
341,4,1,2,1,2,1,1,2,2
342,4,2,1,1,2,2,2,2,2
343,4,1,2,1,2,1,2,2,2
344,4,1,3,1,3,3,1,2,2
345,4,1,2,1,2,1,1,2,2
346,4,1,2,2,2,1,2,2,2
347,4,1,2,1,2,1,1,2,2
348,4,1,2,1,2,1,2,2,2
349,4,2,1,2,2,1,2,2,2
350,4,2,3,1,2,3,2,2,2
351,4,1,2,1,2,1,1,2,2
352,4,1,3,1,3,3,1,2,2
353,4,2,2,2,2,2,2,2,2
354,4,1,2,2,2,1,1,2,2
355,4,1,2,1,2,1,1,2,2
356,4,1,2,1,2,1,1,2,2
357,4,1,2,1,2,1,1,2,2
358,4,1,3,1,3,3,1,2,2
359,4,2,2,1,2,1,2,2,2
360,4,1,2,1,2,1,1,2,2
361,4,1,2,1,3,3,2,2,2
362,4,1,2,1,2,1,2,2,2
363,4,1,2,1,2,1,2,2,2
364,4,1,2,1,2,1,2,2,2
365,4,1,2,1,2,1,1,2,2
366,4,1,2,1,2,3,2,2,2
367,4,2,1,2,1,2,2,2,2
368,4,1,2,1,2,1,2,2,2
369,4,1,3,1,3,3,2,2,2
370,4,1,2,1,2,1,1,2,2
371,4,1,2,1,2,1,2,2,2
372,4,1,2,1,2,1,1,2,2
373,4,1,1,1,2,1,2,2,2
374,4,1,2,1,2,1,2,2,2
375,4,3,3,3,3,3,3,3,3
376,4,1,2,1,2,1,2,2,2
377,4,1,1,2,2,1,2,2,3
378,4,2,2,1,2,1,2,2,2
379,4,2,1,2,2,1,2,1,2
380,4,1,2,1,2,1,1,2,2
381,4,2,2,2,2,1,2,2,2
382,4,1,2,1,2,1,1,2,2
383,4,1,2,1,2,1,2,2,2
384,4,1,3,1,2,3,1,2,2
385,4,1,3,1,2,1,2,2,2
386,4,1,2,1,3,1,2,2,2
387,4,1,2,1,2,1,3,2,1
388,4,1,2,1,2,1,1,2,1
389,4,2,3,2,1,2,3,3,2
390,4,1,2,1,2,3,2,2,3
391,4,3,3,3,3,3,2,2,2
392,4,1,2,1,2,1,2,2,2
393,4,2,1,2,1,2,2,2,2
394,4,1,2,1,2,1,2,2,2
395,4,1,3,1,3,3,1,2,2
396,4,1,3,1,2,1,2,2,2
397,4,1,3,1,3,3,2,2,2
398,4,2,3,2,2,3,3,3,2
399,4,1,2,1,2,1,2,2,2
400,4,1,2,1,2,1,1,2,2
