,BLOCK,QES,ALT,ASC,big.loss,small.loss,small.gain,big.gain,state,municipal,private,cooperative,mi1,mi4,mi8,mi10,bill
76,4,26,1,1,1,0,0,0,1,0,0,0,0,0,1,0,10
77,4,26,2,2,0,1,0,0,0,0,0,1,0,0,0,1,20
78,4,26,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
79,4,27,1,1,0,0,1,0,0,0,1,0,0,0,1,0,10
80,4,27,2,2,0,1,0,0,0,1,0,0,1,0,0,0,1
81,4,27,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
82,4,28,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1
83,4,28,2,2,0,1,0,0,1,0,0,0,0,0,1,0,5
84,4,28,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
85,4,29,1,1,0,1,0,0,1,0,0,0,0,1,0,0,10
86,4,29,2,2,1,0,0,0,0,0,1,0,1,0,0,0,1
87,4,29,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
88,4,30,1,1,0,0,0,1,0,0,1,0,0,0,1,0,20
89,4,30,2,2,0,0,1,0,0,0,0,1,0,0,0,1,10
90,4,30,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
91,4,31,1,1,0,1,0,0,0,1,0,0,1,0,0,0,10
92,4,31,2,2,0,0,0,1,0,0,1,0,0,0,1,0,5
93,4,31,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
94,4,32,1,1,1,0,0,0,1,0,0,0,0,1,0,0,20
95,4,32,2,2,0,0,1,0,0,0,1,0,1,0,0,0,1
96,4,32,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
